0, 185 1 1 5;
1, 185 3 1 2;
2, 230 3 1 2;
3, 275 3 1 2;
4, 230 7 1 2;
5, 275 7 1 2;
6, 340 7 1 2;
7, 275 9 1 2;
8, 340 9 1 2;
9, 660 3 1 2;
10, 705 3 1 2;
11, 740 3 1 2;
12, 660 7 1 2;
13, 705 7 1 2;
14, 740 7 1 2;
15, 660 9 1 2;
16, 705 9 1 2;
17, 740 9 1 2;
18, 920 7 1 2;
19, 972 7 1 2;
20, 880 9 1 2;
21, 920 9 1 2;
22, 950 9 1 2;
24, 185 1 1 6;
25, 185 4 1 3;
26, 230 4 1 3;
27, 275 4 1 3;
28, 230 5 1 3;
29, 275 5 1 3;
30, 340 5 1 3;
31, 275 8 1 3;
32, 340 8 1 3;
33, 660 4 1 3;
34, 705 4 1 3;
35, 740 4 1 3;
36, 660 5 1 3;
37, 705 5 1 3;
38, 740 5 1 3;
39, 660 8 1 3;
40, 705 8 1 3;
41, 740 8 1 3;
42, 920 5 1 3;
43, 972 5 1 3;
44, 880 8 1 3;
45, 920 8 1 3;
46, 950 8 1 3;
48, 185 1 1 4;
49, 185 2 1 2;
50, 230 2 1 2;
51, 275 2 1 2;
52, 230 6 1 2;
53, 275 6 1 2;
54, 340 6 1 2;
55, 275 1 1 2;
56, 340 1 1 2;
57, 660 2 1 2;
58, 705 2 1 2;
69, 740 2 1 2;
60, 660 6 1 2;
61, 705 6 1 2;
62, 740 6 1 2;
63, 660 1 1 2;
64, 705 1 1 2;
65, 740 1 1 2;
66, 920 6 1 2;
67, 972 6 1 2;
68, 880 1 1 2;
79, 920 1 1 2;
70, 950 1 1 2;
